Feature,SHAP_Value,Importance%
total_ic_mou_8,0.80118,7.33
total_mou_8,0.49797386,4.56
last_day_rch_amt_8,0.4547917,4.16
roam_og_mou_8,0.45203528,4.14
total_og_mou_8,0.35952553,3.29
total_rech_num_8,0.34183976,3.13
tenure_segment,0.28772044,2.63
spl_ic_mou_8,0.24466883,2.24
arpu_std,0.1703143,1.56
roam_ic_mou_8,0.16962959,1.55
total_rech_num_7,0.15869091,1.45
is_roaming_user,0.15471624,1.42
total_rech_num_6,0.14168942,1.3
last_day_rch_amt_6,0.14125794,1.29
ic_mou_trend,0.13238947,1.21
av_rech_amt_data_8,0.12720978,1.16
max_rech_amt_7,0.1242464,1.14
fb_user_8,0.11285222,1.03
loc_ic_t2f_mou_8,0.10761858,0.99
max_rech_amt_8,0.10453441,0.96
arpu_decline_rate,0.10401945,0.95
last_day_rch_amt_7,0.1009209,0.92
og_mou_std,0.09689546,0.89
ic_others_8,0.09651845,0.88
loc_og_t2t_mou_8,0.0956071,0.88
og_mou_trend,0.09426676,0.86
arpu_trend_7_8,0.09409716,0.86
loc_ic_t2f_mou_6,0.08982449,0.82
total_rech_amt_8,0.08819704,0.81
arpu_8,0.08691741,0.8
std_og_t2m_mou_7,0.08678227,0.79
loc_ic_t2m_mou_8,0.08659076,0.79
spl_og_mou_7,0.082330026,0.75
max_rech_amt_6,0.08080297,0.74
avg_og_mou,0.077478856,0.71
std_ic_t2f_mou_6,0.077200435,0.71
loc_ic_t2m_mou_7,0.07689171,0.7
isd_ic_mou_8,0.0750318,0.69
loc_ic_t2f_mou_7,0.07366926,0.67
total_rech_data_8,0.07227362,0.66
loc_og_mou_8,0.07087349,0.65
std_og_t2m_mou_6,0.07031921,0.64
loc_og_t2m_mou_6,0.07021954,0.64
aug_jun_og_ratio,0.068607315,0.63
total_mou_7,0.06845421,0.63
rech_amt_trend,0.06696512,0.61
std_ic_t2f_mou_8,0.06487258,0.59
onnet_mou_8,0.06458005,0.59
offnet_mou_8,0.062827714,0.58
roam_og_mou_6,0.061172,0.56
spl_og_mou_6,0.05960932,0.55
spl_og_mou_8,0.05944968,0.54
loc_ic_t2t_mou_8,0.0587816,0.54
tenure_months,0.05810436,0.53
roam_og_mou_7,0.057509825,0.53
ic_others_6,0.05728454,0.52
std_ic_t2m_mou_6,0.057010323,0.52
onnet_mou_6,0.056805346,0.52
loc_ic_t2t_mou_7,0.05621245,0.51
loc_ic_mou_8,0.055867855,0.51
loc_ic_mou_7,0.055344988,0.51
std_ic_t2t_mou_7,0.05465862,0.5
rech_num_trend,0.05348157,0.49
std_ic_t2m_mou_8,0.053185277,0.49
loc_og_mou_6,0.053156245,0.49
total_ic_mou_6,0.051375225,0.47
std_og_t2m_mou_8,0.050508976,0.46
loc_ic_t2t_mou_6,0.05033888,0.46
std_og_mou_8,0.049935978,0.46
std_ic_mou_8,0.049424645,0.45
std_ic_t2m_mou_7,0.047407605,0.43
arpu_trend,0.045918338,0.42
total_mou_6,0.045459088,0.42
avg_rech_amt,0.045204364,0.41
loc_og_t2m_mou_7,0.04477904,0.41
vol_3g_mb_8,0.044716455,0.41
loc_og_t2m_mou_8,0.044343002,0.41
loc_og_t2f_mou_6,0.042937953,0.39
std_og_t2t_mou_6,0.042243052,0.39
std_ic_t2t_mou_6,0.042084966,0.39
onnet_mou_7,0.04205611,0.39
og_others_6,0.04101485,0.38
offnet_mou_7,0.040951,0.37
total_ic_mou_7,0.040417332,0.37
loc_og_t2c_mou_7,0.040082846,0.37
isd_ic_mou_6,0.039655875,0.36
loc_og_mou_7,0.03865857,0.35
loc_ic_mou_6,0.03836819,0.35
loc_ic_t2m_mou_6,0.03770655,0.35
arpu_6,0.037083067,0.34
arpu_7,0.036970053,0.34
total_rech_amt_7,0.03687863,0.34
ic_others_7,0.036825035,0.34
aon,0.036721803,0.34
avg_arpu,0.036569655,0.33
loc_og_t2f_mou_7,0.03588339,0.33
avg_ic_mou,0.03585987,0.33
loc_og_t2f_mou_8,0.03449772,0.32
std_ic_mou_7,0.034360237,0.31
spl_ic_mou_7,0.033509202,0.31
loc_og_t2t_mou_6,0.033487197,0.31
offnet_mou_6,0.033401705,0.31
spl_ic_mou_6,0.033154104,0.3
std_ic_t2t_mou_8,0.03188035,0.29
aug_vbc_3g,0.030909238,0.28
std_og_t2f_mou_8,0.030507717,0.28
roam_ic_mou_7,0.029306827,0.27
std_ic_mou_6,0.028773602,0.26
total_rech_data_6,0.028015977,0.26
std_og_mou_6,0.027662229,0.25
total_rech_amt_6,0.026964353,0.25
std_og_t2t_mou_7,0.026628526,0.24
loc_og_t2t_mou_7,0.026540464,0.24
jun_vbc_3g,0.026269466,0.24
max_rech_data_8,0.02603618,0.24
std_og_mou_7,0.025661709,0.23
count_rech_2g_7,0.0254873,0.23
roam_ic_mou_6,0.025144823,0.23
jul_vbc_3g,0.024172759,0.22
count_rech_2g_8,0.02316854,0.21
std_og_t2t_mou_8,0.023111282,0.21
max_rech_data_7,0.022928879,0.21
vol_3g_mb_7,0.022235105,0.2
vol_2g_mb_8,0.02197918,0.2
vol_2g_mb_7,0.021940794,0.2
std_ic_t2f_mou_7,0.0216644,0.2
arpu_2g_8,0.021511877,0.2
arpu_3g_6,0.02102014,0.19
std_og_t2f_mou_7,0.020807879,0.19
arpu_2g_7,0.020549657,0.19
total_og_mou_6,0.02043163,0.19
total_og_mou_7,0.020048087,0.18
max_rech_data_6,0.019990925,0.18
arpu_3g_8,0.018884223,0.17
avg_data_rech,0.018778468,0.17
loc_og_t2c_mou_6,0.01843887,0.17
arpu_3g_7,0.018301709,0.17
arpu_2g_6,0.018256273,0.17
isd_ic_mou_7,0.01746394,0.16
is_high_value,0.017141735,0.16
vol_2g_mb_6,0.017055783,0.16
loc_og_t2c_mou_8,0.01659449,0.15
fb_user_6,0.016400388,0.15
std_og_t2f_mou_6,0.015586723,0.14
count_rech_2g_6,0.015452489,0.14
total_rech_data_7,0.0152753135,0.14
av_rech_amt_data_6,0.013763712,0.13
av_rech_amt_data_7,0.012349772,0.11
sachet_2g_8,0.01117135,0.1
sachet_2g_6,0.010455284,0.1
vol_3g_mb_6,0.009120101,0.08
sachet_2g_7,0.008894054,0.08
fb_user_7,0.0055813272,0.05
